2025-03-17 15:41:24,881 INFO    MainThread:9982 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /workspaces/DA6401-Assignment1/wandb/run-20250317_154124-lb2wygl0/logs/debug.log
2025-03-17 15:41:24,882 INFO    MainThread:9982 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /workspaces/DA6401-Assignment1/wandb/run-20250317_154124-lb2wygl0/logs/debug-internal.log
2025-03-17 15:41:24,882 INFO    MainThread:9982 [wandb_init.py:init():761] calling init triggers
2025-03-17 15:41:24,882 INFO    MainThread:9982 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 16, 'epochs': 10, 'hidden_layer_size': 128, 'learning_rate': 0.0001, 'num_hidden_layers': 4, 'optimizer': 'sgd', 'weight_decay': 0.5, 'weight_init': 'random'}
config: {'_wandb': {}}
2025-03-17 15:41:24,882 INFO    MainThread:9982 [wandb_init.py:init():784] starting backend
2025-03-17 15:41:24,882 INFO    MainThread:9982 [wandb_init.py:init():788] sending inform_init request
2025-03-17 15:41:24,883 INFO    MainThread:9982 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-17 15:41:24,883 INFO    MainThread:9982 [wandb_init.py:init():798] backend started and connected
2025-03-17 15:41:24,883 INFO    MainThread:9982 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'relu', 'batch_size': 16, 'epochs': 10, 'hidden_layer_size': 128, 'learning_rate': 0.0001, 'num_hidden_layers': 4, 'optimizer': 'sgd', 'weight_decay': 0.5, 'weight_init': 'random'}
2025-03-17 15:41:24,884 INFO    MainThread:9982 [wandb_init.py:init():891] updated telemetry
2025-03-17 15:41:24,890 INFO    MainThread:9982 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-03-17 15:41:25,319 INFO    MainThread:9982 [wandb_init.py:init():990] starting run threads in backend
2025-03-17 15:41:25,435 INFO    MainThread:9982 [wandb_run.py:_console_start():2375] atexit reg
2025-03-17 15:41:25,436 INFO    MainThread:9982 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-17 15:41:25,436 INFO    MainThread:9982 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-17 15:41:25,436 INFO    MainThread:9982 [wandb_run.py:_redirect():2315] Redirects installed.
2025-03-17 15:41:25,436 INFO    MainThread:9982 [wandb_init.py:init():1032] run started, returning control to user process
